,date,open,close,high,low,volume
10095,2024-09-26,226.28,226.5,227.48,224.39,36636707
10096,2024-09-27,227.44,226.77,228.5,226.28,34025967
10097,2024-09-30,229.02,231.98,231.98,228.63,54793391
10098,2024-10-01,228.5,225.19,228.63,222.72,63285048
10099,2024-10-02,224.87,225.76,226.35,222.0,32880605
10100,2024-10-03,224.12,224.65,225.785,222.3,34044158
10101,2024-10-04,226.88,225.78,226.98,223.11,37345098
10102,2024-10-07,223.48,220.67,224.67,220.31,39505354
10103,2024-10-08,223.28,224.75,224.96,222.23,31855693
10104,2024-10-09,224.21,228.52,228.73,223.81,33591091
10105,2024-10-10,226.76,228.02,228.48,226.15,28183544
10106,2024-10-11,228.28,226.53,228.39,226.32,31759188
10107,2024-10-14,227.68,230.28,230.71,227.58,39882085
10108,2024-10-15,232.59,232.83,236.47,231.35,64751367
10109,2024-10-16,230.58,230.76,231.1,228.82,34082240
10110,2024-10-17,232.41,231.13,232.83,229.5,32993810
10111,2024-10-18,235.16,233.98,235.16,232.99,46431472
10112,2024-10-21,233.43,235.46,235.83,233.43,36254470
10113,2024-10-22,232.865,234.84,235.2,231.58,38846578
10114,2024-10-23,233.06,229.74,234.124,226.74,52286979
10115,2024-10-24,228.96,229.55,229.8,227.39,31109503
10116,2024-10-25,228.72,230.39,232.2,228.55,38802304
10117,2024-10-28,232.3,232.38,233.71,231.53,36087134
10118,2024-10-29,232.08,232.65,233.305,231.3,35417247
10119,2024-10-30,231.59,229.08,232.45,228.53,47070907
10120,2024-10-31,228.32,224.89,228.81,224.35,64370086
10121,2024-11-01,219.945,221.89,224.33,219.25,65276741
10122,2024-11-04,219.97,220.99,221.77,218.69,44944468
10123,2024-11-05,220.775,222.43,222.93,220.12,28111338
10124,2024-11-06,221.59,221.7,225.045,220.17,54561121
10125,2024-11-07,223.605,226.46,226.855,223.55,42137691
10126,2024-11-08,226.4,226.19,227.89,225.635,38328824
10127,2024-11-11,224.23,223.46,224.93,220.73,42005602
10128,2024-11-12,223.78,223.46,224.82,222.585,40398299
10129,2024-11-13,223.24,224.35,225.88,221.99,48566217
10130,2024-11-14,224.25,227.45,228.1,224.23,44923941
10131,2024-11-15,225.63,224.23,226.15,223.5,47923696
10132,2024-11-18,224.48,227.25,228.97,224.4,44686020
10133,2024-11-19,226.21,227.51,229.39,225.89,36211774
10134,2024-11-20,227.29,228.23,229.16,225.12,35169566
10135,2024-11-21,228.11,227.75,229.385,224.94,42108327
10136,2024-11-22,227.29,229.1,229.95,227.29,38168252
10137,2024-11-25,230.69,232.1,232.475,228.97,90152832
10138,2024-11-26,232.56,234.29,234.8,232.56,45986189
10139,2024-11-27,233.695,234.16,234.92,233.04,33498439
10140,2024-11-29,234.035,236.56,237.04,233.2,28481377
10141,2024-12-02,236.5,238.82,240.02,236.39,48137103
10142,2024-12-03,239.04,241.88,241.99,238.13,38861017
10143,2024-12-04,242.1,242.24,243.34,240.48,44383935
10144,2024-12-05,243.22,242.27,243.77,241.36,40033878
10145,2024-12-06,242.135,242.07,243.86,241.31,36870619
10146,2024-12-09,241.06,245.98,246.47,240.98,44649232
10147,2024-12-10,246.12,247.0,247.44,244.57,36914806
10148,2024-12-11,247.19,245.72,250.03,245.49,45205814
10149,2024-12-12,246.12,247.19,247.97,244.91,32777532
10150,2024-12-13,247.045,247.36,248.52,245.47,33155290
10151,2024-12-16,247.22,250.27,250.61,246.88,51694753
10152,2024-12-17,249.31,252.71,253.06,249.01,51356360
10153,2024-12-18,251.39,247.28,253.51,246.97,56774101
10154,2024-12-19,246.73,249.02,251.23,246.325,60882264
10155,2024-12-20,247.27,253.72,254.23,244.92,147495267
10156,2024-12-23,254.0,254.5,254.88,252.68,40858774
10157,2024-12-24,254.72,257.43,257.44,254.52,23234705
10158,2024-12-26,257.42,258.25,259.33,256.86,27262983
10159,2024-12-27,257.06,254.82,257.93,252.29,42355321
10160,2024-12-30,251.46,251.43,252.73,249.98,35557542
10161,2024-12-31,251.67,249.65,252.51,248.66,39480718
10162,2025-01-02,248.16,243.08,248.33,241.05,55740731
10163,2025-01-03,242.59,242.59,243.41,241.12,40244114
10164,2025-01-06,243.54,244.23,246.56,242.43,45045571
10165,2025-01-07,242.21,241.44,244.78,240.58,40855960
10166,2025-01-08,241.15,241.93,242.942,239.28,37628940
10167,2025-01-10,239.24,236.08,239.39,232.23,61710856
10168,2025-01-13,232.76,233.63,233.9,228.95,49630725
10169,2025-01-14,233.98,232.51,235.35,231.702,39435294
10170,2025-01-15,233.865,237.1,238.19,233.66,39831969
10171,2025-01-16,236.58,227.49,237.24,227.26,71759052
10172,2025-01-17,231.345,229.21,231.52,227.71,68488301
10173,2025-01-21,223.23,221.87,223.65,218.61,98070429
10174,2025-01-22,219.02,223.06,223.35,219.02,64126500
10175,2025-01-23,223.97,222.89,226.26,221.53,60234760
10176,2025-01-24,224.01,222.01,224.86,220.64,54697907
10177,2025-01-27,223.25,229.09,231.38,223.21,94863418
10178,2025-01-28,230.08,237.49,239.42,230.04,75707569
10179,2025-01-29,233.35,238.59,239.085,233.24,45486100
10180,2025-01-30,237.895,236.82,240.02,236.44,55658279
10181,2025-01-31,246.42,235.23,246.42,232.67,101075128
10182,2025-02-03,229.22,227.24,231.06,224.93,73063301
10183,2025-02-04,226.48,232.03,232.36,225.88,45067301
10184,2025-02-05,227.76,231.7,231.9,227.5,39664989
10185,2025-02-06,230.515,232.45,233.03,229.655,29925349
10186,2025-02-07,231.83,226.86,233.23,226.49,39707224
10187,2025-02-10,229.05,227.13,230.065,226.68,33115645
10188,2025-02-11,227.68,232.1,234.71,227.61,53718362
10189,2025-02-12,230.68,236.35,236.44,230.16,45243292
10190,2025-02-13,236.39,241.01,241.82,235.05,53614054
10191,2025-02-14,240.73,244.08,245.03,240.47,40896227
10192,2025-02-18,243.63,243.95,244.66,241.32,48822491
10193,2025-02-19,244.14,244.35,245.49,242.64,32204215
10194,2025-02-20,244.42,245.31,246.26,243.77,32316907
10195,2025-02-21,245.43,245.03,248.17,244.7,53197431
10196,2025-02-24,244.405,246.58,248.34,243.9,51326396
10197,2025-02-25,247.48,246.52,249.48,244.39,48013272
10198,2025-02-26,243.81,239.84,244.46,238.61,44433564
10199,2025-02-27,238.89,236.78,241.94,236.54,41153639
10200,2025-02-28,236.43,241.32,241.57,229.68,56833360
10201,2025-03-03,241.27,237.51,243.507,235.592,47183985
10202,2025-03-04,237.185,235.41,239.55,234.16,53798062
10203,2025-03-05,234.9,235.22,236.03,228.71,47227643
10204,2025-03-06,233.915,234.81,237.34,232.638,45170419
10205,2025-03-07,234.585,238.55,240.85,234.24,46273565
10206,2025-03-10,235.02,226.96,235.64,223.7,72071197
10207,2025-03-11,223.285,220.32,225.32,216.93,76137410
10208,2025-03-12,219.62,216.46,221.23,214.39,62547467
10209,2025-03-13,215.43,209.16,216.319,207.9,61368330
10210,2025-03-14,210.73,212.97,213.43,209.06,60107582
10211,2025-03-17,212.79,213.48,214.7,209.45,48073426
10212,2025-03-18,213.64,212.17,214.63,210.97,42432426
10213,2025-03-19,213.7,214.72,218.24,213.23,54385391
10214,2025-03-20,213.47,213.58,216.97,211.7,48862947
10215,2025-03-21,211.04,217.75,218.32,210.76,94127768
10216,2025-03-24,220.48,220.21,220.96,218.06,44299483
10217,2025-03-25,220.25,223.23,223.58,219.56,34493583
10218,2025-03-26,222.99,221.01,224.5,219.95,34532656
10219,2025-03-27,220.87,223.33,224.47,220.04,37094774
10220,2025-03-28,221.15,217.38,223.29,217.16,39818617
10221,2025-03-31,216.485,221.61,225.1,215.71,65299321
10222,2025-04-01,219.285,222.67,223.16,218.38,36412740
10223,2025-04-02,220.795,223.37,224.67,220.5,35905904
10224,2025-04-03,205.02,202.67,206.97,200.73,103419006
10225,2025-04-04,193.37,187.86,199.36,186.82,125910913
10226,2025-04-07,176.68,180.94,193.63,174.1,160466286
10227,2025-04-08,186.18,171.9,189.815,168.69,120859491
10228,2025-04-09,171.43,198.33,200.09,171.37,184395885
10229,2025-04-10,188.545,189.9,194.26,182.48,121879981
10230,2025-04-11,185.58,197.63,199.02,185.54,87435915
10231,2025-04-14,210.92,202.0,212.42,200.642,101352911
10232,2025-04-15,201.335,201.62,202.99,199.28,51343872
10233,2025-04-16,197.84,193.75,200.18,191.85,59732423
10234,2025-04-17,196.68,196.46,198.314,193.9,52164675
10235,2025-04-21,192.745,192.64,193.28,189.291,46742537
10236,2025-04-22,195.6,199.22,201.07,195.45,52976371
10237,2025-04-23,205.48,204.08,207.48,202.279,52929165
10238,2025-04-24,204.37,207.85,208.31,202.42,47310989
10239,2025-04-25,205.845,208.76,209.23,205.68,38222258
10240,2025-04-28,209.48,209.62,210.98,206.94,38743074
10241,2025-04-29,208.173,210.69,211.72,207.85,36827633
10242,2025-04-30,208.78,211.98,213.06,206.151,52286454
10243,2025-05-01,208.56,212.8,214.04,208.38,57365675
10244,2025-05-02,205.57,204.83,206.47,201.64,101010621
10245,2025-05-05,202.58,198.37,203.58,197.69,69018452
10246,2025-05-06,197.69,197.99,200.13,196.5,51216482
10247,2025-05-07,198.65,195.73,198.92,192.73,68616943
10248,2025-05-08,197.2,196.97,199.53,194.16,50478872
10249,2025-05-09,198.48,198.01,200.02,197.015,36453923
10250,2025-05-12,210.71,210.53,211.008,206.49,63775814
10251,2025-05-13,210.17,212.67,213.14,208.74,51909332
10252,2025-05-14,212.17,212.07,213.68,210.32,49325825
10253,2025-05-15,210.69,211.19,212.7,209.28,45029473
10254,2025-05-16,212.1,211.0,212.31,209.51,54737850
10255,2025-05-19,207.65,208.52,209.22,204.0,46140527
10256,2025-05-20,207.41,206.6,208.21,204.77,42496635
10257,2025-05-21,204.91,201.83,206.78,200.45,59211774
10258,2025-05-22,200.45,201.1,202.49,199.44,46742407
10259,2025-05-23,193.405,195.01,197.44,193.2,78432918
10260,2025-05-27,198.04,199.95,200.48,197.17,56288475
10261,2025-05-28,200.33,200.16,202.47,199.64,45339678
10262,2025-05-29,203.315,199.69,203.55,198.25,51477938
10263,2025-05-30,199.11,200.59,201.7,196.52,70819942
10264,2025-06-02,200.02,201.44,201.87,199.86,35423294
10265,2025-06-03,201.09,203.01,203.51,200.695,46381567
10266,2025-06-04,202.65,202.56,205.98,201.84,43603985
10267,2025-06-05,203.24,200.37,204.49,199.89,55221235
10268,2025-06-06,202.74,203.66,205.44,201.79,46607693
10269,2025-06-09,204.13,201.19,205.74,199.76,72862557
10270,2025-06-10,200.34,202.41,204.09,200.31,54672608
10271,2025-06-11,203.24,198.52,204.24,198.15,60989857
10272,2025-06-12,198.82,198.94,199.42,197.1,43904635
10273,2025-06-13,199.47,196.19,200.11,195.44,51447349
10274,2025-06-16,197.04,198.16,198.425,196.304,43020691
10275,2025-06-17,196.94,195.38,198.13,194.95,38856152
10276,2025-06-18,195.68,196.32,197.31,194.81,45394689
10277,2025-06-20,197.975,200.74,201.44,196.595,96813542
10278,2025-06-23,201.365,201.24,202.04,198.7,55814272
10279,2025-06-24,202.33,200.04,203.18,199.94,54064033
10280,2025-06-25,201.19,201.3,203.41,200.36,39525730
10281,2025-06-26,201.17,200.74,202.38,199.2,50799121
10282,2025-06-27,201.63,200.82,202.96,199.74,73188571
10283,2025-06-30,201.75,204.91,207.13,199.001,91912816
10284,2025-07-01,206.405,207.56,209.927,205.88,78788867
10285,2025-07-02,208.65,212.18,213.08,207.88,67941811
10286,2025-07-03,211.885,213.29,214.39,211.55,34955836
10287,2025-07-07,212.42,209.69,215.97,208.54,50228984
10288,2025-07-08,209.84,209.75,211.17,208.19,42848928
10289,2025-07-09,209.27,210.88,211.07,206.96,48749367
10290,2025-07-10,210.245,212.15,213.22,209.77,44443635
10291,2025-07-11,210.305,210.9,211.87,209.6,39765812
10292,2025-07-14,209.665,208.36,210.65,207.28,38840111
10293,2025-07-15,208.96,208.85,211.63,208.66,42296339
10294,2025-07-16,210.035,209.9,212.14,208.38,47490532
10295,2025-07-17,210.31,209.76,211.54,209.33,48068141
10296,2025-07-18,210.61,210.92,211.53,209.445,48974591
10297,2025-07-21,211.84,212.22,215.52,211.37,51377434
10298,2025-07-22,212.88,214.14,214.69,211.97,46404072
10299,2025-07-23,214.74,213.89,214.89,212.15,46989301
10300,2025-07-24,213.64,213.5,215.43,213.27,46022620
10301,2025-07-25,214.44,213.62,214.98,213.14,40268781
10302,2025-07-28,213.77,213.79,214.585,212.8,37858017
10303,2025-07-29,213.915,211.01,214.55,210.56,51411723
10304,2025-07-30,211.635,208.79,212.13,207.46,45512514
10305,2025-07-31,208.23,207.31,209.58,206.9,80698431
10306,2025-08-01,210.605,202.12,213.32,201.24,104434473
10307,2025-08-04,204.245,203.09,207.62,201.415,75109298
10308,2025-08-05,203.14,202.66,205.08,201.9,44155079
10309,2025-08-06,205.37,212.99,215.12,205.33,108483103
10310,2025-08-07,218.615,219.77,220.59,216.32,90224834
10311,2025-08-08,220.57,229.09,230.74,218.99,113853967
10312,2025-08-11,227.92,227.18,229.56,224.76,61806132
10313,2025-08-12,228.005,229.65,230.8,227.07,55672301
10314,2025-08-13,231.07,233.33,235.0,230.43,69878546
10315,2025-08-14,234.055,232.78,235.12,230.85,51916275
10316,2025-08-15,234.0,231.59,234.28,229.335,56038657
10317,2025-08-18,231.7,230.89,233.12,230.11,37476188
10318,2025-08-19,231.275,230.56,232.87,229.35,39402564
10319,2025-08-20,229.98,226.01,230.47,225.77,42263865
10320,2025-08-21,226.27,224.9,226.52,223.78,30621249
10321,2025-08-22,226.17,227.76,229.09,225.41,42477811
10322,2025-08-25,226.48,227.16,229.3,226.23,30983133
10323,2025-08-26,226.87,229.31,229.49,224.69,54575107
10324,2025-08-27,228.61,230.49,230.9,228.26,31259513
10325,2025-08-28,230.82,232.56,233.41,229.335,38074700
10326,2025-08-29,232.51,232.14,233.38,231.37,39418437
10327,2025-09-02,229.25,229.72,230.85,226.97,44075638
10328,2025-09-03,237.21,238.47,238.85,234.36,66427835
10329,2025-09-04,238.45,239.78,239.9,236.74,47549429
10330,2025-09-05,239.995,239.69,241.32,238.49,54870397
10331,2025-09-08,239.3,237.88,240.15,236.34,48999495
10332,2025-09-09,237.0,234.35,238.781,233.36,66313918
10333,2025-09-10,232.185,226.79,232.42,225.95,83440810
10334,2025-09-11,226.875,230.03,230.45,226.65,50208578
10335,2025-09-12,229.22,234.07,234.51,229.02,55824216
10336,2025-09-15,237.0,236.7,238.19,235.03,42699524
10337,2025-09-16,237.175,238.15,241.22,236.324,63421099
10338,2025-09-17,238.97,238.99,240.1,237.73,46508017
10339,2025-09-18,239.97,237.88,241.2,236.65,44249576
10340,2025-09-19,241.225,245.5,246.3,240.211,163741314
10341,2025-09-22,248.3,256.08,256.64,248.12,105517416
10342,2025-09-23,255.875,254.43,257.34,253.58,60275187
10343,2025-09-24,255.22,252.31,255.74,251.04,42303710
10344,2025-09-25,253.205,256.87,257.17,251.712,55202075
10345,2025-09-26,254.095,255.46,257.6,253.78,46076258
10346,2025-09-29,254.56,254.43,255.0,253.01,40127687
10347,2025-09-30,254.855,254.63,255.919,253.11,37704259
10348,2025-10-01,255.04,255.45,258.79,254.93,48713940
10349,2025-10-02,256.575,257.13,258.18,254.15,42630239
10350,2025-10-03,254.665,258.02,259.24,253.95,49155614
10351,2025-10-06,257.99,256.69,259.07,255.05,44664118
10352,2025-10-07,256.805,256.48,257.4,255.43,31955776
10353,2025-10-08,256.52,258.06,258.52,256.11,36496895
10354,2025-10-09,257.805,254.04,258.0,253.14,38322012
10355,2025-10-10,254.94,245.27,256.38,244.0,61999098
10356,2025-10-13,249.38,247.66,249.69,245.56,38142942
10357,2025-10-14,246.6,247.77,248.845,244.7,35477986
10358,2025-10-15,249.485,249.34,251.82,247.47,33893611
10359,2025-10-16,248.25,247.45,249.04,245.13,39776974
